State,Year_of_Disclosure_Law,Specific_Subsidy_Program_Affected_by_Law____Means_Update_to_,Disclosure_Law,State_Statute,Excerpt,Subsidies_in_Sample___Y_N_,Internal_Disclosure___Y_N_,External_Disclosure___Y_N_,Match_to_Specific_Program_in_DLR__Appendix_C_,X_if_Related_to_Existing_Regime_in_DLR,Internal_or_Public_Reporting
Arizona,2016,Arizona Competes Fund,2016 Ariz. SB 1501,41-1545.04.,"41-1545.04. Report on use of monies in the Arizona competes fund 
A. On or before November 1 of each year, the authority shall submit to the president of the senate, the speaker of the house of representatives and the joint legislative budget committee a report on grants made from the Arizona competes fund under this article in the preceding fiscal year and all projects currently being funded from the Arizona competes fund. The authority shall provide a copy of the report to the secretary of state AND POST A COPY ON THE AUTHORITY’S WEBSITE. The report shall include: [...]
",N,Y,Y,NA,NA,Internal and Public
Arizona,2014,Certification of basic research payments to a university,2014 Ariz. HB 2272,41-1507.01.,"41-1507.01. 
Certification of basic research payments to a university
A.  FOR TAXABLE YEARS BEGINNING FROM AND AFTER DECEMBER 31, 2014, BEFORE A TAXPAYER CAN APPLY TO THE DEPARTMENT OF REVENUE FOR CERTIFICATION OF ADDITIONAL INCOME TAX CREDITS FOR INCREASED RESEARCH ACTIVITIES INVOLVING BASIC RESEARCH PAYMENTS TO A UNIVERSITY UNDER SECTION 43-1074.01, SUBSECTION A, PARAGRAPH 1, SUBDIVISION (c) OR SECTION 43-1168, SUBSECTION A, PARAGRAPH 1, SUBDIVISION (d), A TAXPAYER SHALL OBTAIN CERTIFICATION FROM THE AUTHORITY THAT THE BASIC RESEARCH PAYMENTS MEET THE REQUIREMENTS OF THIS SECTION. THE TAXPAYER SHALL APPLY TO THE AUTHORITY FOR CERTIFICATION OF THE BASIC RESEARCH PAYMENTS AT A TIME, ON A FORM AND IN A MANNER PRESCRIBED BY THE AUTHORITY.
[...]
F.  ANY INFORMATION GATHERED FROM A BUSINESS FOR THE PURPOSES OF THIS SECTION IS CONFIDENTIAL AND MAY NOT BE DISCLOSED TO THE PUBLIC EXCEPT THAT THE INFORMATION MUST BE TRANSMITTED TO THE DEPARTMENT OF REVENUE.
",N,Y,N,NA,NA,Public. Confidentiality of information. Relevant?
Arizona,2015,International Operations Center,2015 Ariz. HB 2670,41-1520.,"41-1520. INTERNATIONAL OPERATIONS CENTER; UTILITY RELIEF; DEFINITIONS  
A. FROM AND AFTER JUNE 30, 2015, UTILITY RELIEF IS ALLOWED FOR THE OWNER OR OPERATOR OF AN INTERNATIONAL OPERATIONS CENTER THAT IS CERTIFIED PURSUANT TO THIS SECTION. [...]
H. PROPRIETARY BUSINESS INFORMATION CONTAINED IN THE APPLICATION FORM DESCRIBED IN SUBSECTION B OF THIS SECTION AND THE WRITTEN NOTICE DESCRIBED IN SUBSECTION F OF THIS SECTION ARE CONFIDENTIAL AND MAY NOT BE DISCLOSED TO THE PUBLIC, EXCEPT THAT THE INFORMATION SHALL BE TRANSMITTED TO THE DEPARTMENT OF REVENUE. THE AUTHORITY OR THE DEPARTMENT OF REVENUE MAY DISCLOSE THE NAME OF AN INTERNATIONAL OPERATIONS CENTER THAT HAS BEEN CERTIFIED PURSUANT TO THIS SECTION. [...]
K. FOR THE PURPOSES OF THIS SECTION:
1. “INTERNATIONAL OPERATIONS CENTER” MEANS A FACILITY THAT IS SUBJECT TO THE INVESTMENT THRESHOLDS UNDER SUBSECTION D OF THIS SECTION AND THAT SELF-CONSUMES RENEWABLE ENERGY FROM A QUALIFIED FACILITY PURSUANT TO SECTION 43-1083.04, SUBSECTION C OR SECTION 43-1164.05, SUBSECTION C.
2. “UTILITY RELIEF” MEANS THE MITIGATION OF THE TAX BURDEN ON THE RETAIL PURCHASER OF ELECTRICITY OR NATURAL GAS THROUGH THE APPLICATION OF SECTION 42-5063, SUBSECTION C, PARAGRAPH 7, SECTION 42-5159, SUBSECTION G, PARAGRAPH 2 AND SECTION 42-6012, PARAGRAPH 2.",N,Y,N,NA,NA,"Public. It is adding an exception, so the general rule must be disclosure."
Arizona,2006,Solar Energy Tax Incentives,2006 Ariz. HB 2429,41-1510.01,"[A> 41-1510.01. SOLAR ENERGY TAX INCENTIVES; QUALIFICATION <A]

[A> A. THE DEPARTMENT SHALL ESTABLISH A PROCEDURE FOR IDENTIFYING COMMERCIAL SOLAR ENERGY PROJECTS THAT QUALIFY FOR THE PURPOSES OF THE COMMERCIAL SOLAR ENERGY INCOME TAX CREDITS UNDER SECTIONS 43-1085 AND 43-1164. <A]
[...]
[A> C. APPLICATIONS TO THE DEPARTMENT UNDER THIS SECTION ARE CONFIDENTIAL AND ARE NOT SUBJECT TO DISCLOSURE UNDER TITLE 39 FOR EIGHTEEN MONTHS AFTER THE DATE OF APPLICATION. <A]
[...]
[A> 2. THE DEPARTMENT SHALL REVIEW THE INSTALLATION EXPENSES AND ISSUE A CREDIT CERTIFICATE TO THE BUSINESS. THE CREDIT CERTIFICATE SHALL INCLUDE THE ASSIGNED IDENTIFYING NUMBER. <A]

[A> 3. THE DEPARTMENT OF COMMERCE SHALL TRANSMIT THE CREDIT INFORMATION AND CERTIFICATE NUMBER TO THE DEPARTMENT OF REVENUE. <A]

[A> 4. THE DEPARTMENT OF COMMERCE SHALL NOT CERTIFY TAX CREDITS UNDER THIS SECTION IN ANY CALENDAR YEAR THAT EXCEED A TOTAL OF ONE MILLION DOLLARS. <A]

[A> F. THE DEPARTMENT OF COMMERCE AND THE DEPARTMENT OF REVENUE SHALL COLLABORATE IN ADOPTING RULES THAT ARE NECESSARY TO ACCOMPLISH THE INTENT AND PURPOSE OF THIS SECTION. <A]",N,N,Y,NA,NA,Internal. It even states confidentiality of applicants for 39 months. Relevant?
Arizona,2004,Healthy Forest Enterprise Incentives,2004 Ariz. HB 2549,41-1516.,"[A> 41-1516. HEALTHY FOREST ENTERPRISE INCENTIVES; DEFINITIONS <A]
[A> A. THE DEPARTMENT OF COMMERCE SHALL IDENTIFY AND CERTIFY TO THE DEPARTMENT OF REVENUE THE NAMES AND RELEVANT INFORMATION RELATING TO QUALIFIED BUSINESSES FOR THE PURPOSES OF AVAILABLE TAX INCENTIVES FOR ECONOMIC ENTERPRISES THAT PROMOTE FOREST HEALTH IN THIS STATE. <A] [...]
[A> B. TO QUALIFY FOR TAX INCENTIVES PURSUANT TO THIS SECTION, A BUSINESS: <A] [...]
[A> 4. MUST ENTER INTO A MEMORANDUM OF UNDERSTANDING WITH THE DEPARTMENT OF COMMERCE CONTAINING: <A]
[A> (A) EMPLOYMENT GOALS. EACH YEAR THE BUSINESS MUST REPORT IN WRITING TO THE DEPARTMENT OF COMMERCE ITS PERFORMANCE IN ACHIEVING THE GOALS. <A] [...]
[A> 5. MUST SUBMIT A COPY OF THE CERTIFICATION TO THE DEPARTMENT OF REVENUE FOR APPROVAL BEFORE USING THE CERTIFICATION FOR PURPOSES OF ANY TAX INCENTIVE. THE DEPARTMENT OF REVENUE SHALL REVIEW AND APPROVE OR DENY THE CERTIFICATION IN A TIMELY MANNER. A FAILURE TO APPROVE OR DENY THE CERTIFICATION WITHIN SIXTY DAYS AFTER THE DATE THE BUSINESS SUBMITS IT TO THE DEPARTMENT CONSTITUTES APPROVAL OF THE CERTIFICATION. <A]",N,N,Y,NA,NA,Internal. Considering this as internal as both the Dpt. of Commerce and Revenue are involved.
Florida,2003,Entertainment Industry Financial Incentive Program,2003 Fla. HB 1149,Section 288.1254,"Section 2. Section 288.1254, Florida Statutes, is created to read:
[A> 288.1254 ENTERTAINMENT INDUSTRY FINANCIAL INCENTIVE PROGRAM; CREATION; PURPOSE; DEFINITIONS; APPLICATION PROCEDURE; APPROVAL PROCESS; REIMBURSEMENT ELIGIBILITY; SUBMISSION OF REQUIRED DOCUMENTATION; RECOMMENDATIONS FOR PAYMENT; POLICIES AND PROCEDURES; FRAUDULENT CLAIMS.-- <A]
[...]
[A> (7) ANNUAL REPORT.--THE OFFICE OF FILM AND ENTERTAINMENT SHALL PROVIDE AN ANNUAL REPORT, DUE JANUARY 1, TO THE GOVERNOR, THE PRESIDENT OF THE SENATE, AND THE SPEAKER OF THE HOUSE OF REPRESENTATIVES OUTLINING THE RETURN ON INVESTMENT TO THE STATE ON FUNDS EXPENDED PURSUANT TO THIS SECTION. <A]",Y,NA,NA,Film & Entertainment Incentive,NA,NA
Florida,2008,Brownfield rehabilitation and redevelopment,2008 Fla. HB 527,NA,NA,Y,NA,NA,Brownfield ReDev. Bonus/Brownfield Voluntary Cleanup Tax Credits,NA,NA
Florida,2017,Florida Tourism Industry Marketing Corporation,2017 Fla. HB 1,288.1226,"288.1226 Florida Tourism Industry Marketing Corporation; use of property; board of directors; duties; audit.— [...]
 (13) TRANSPARENCY.– 
 (a) All executed corporation contracts are to be placed for viewing on the corporation’s website. All contracts with the corporation valued at $500,000 or more shall be placed on the corporation’s website for review 14 days prior to execution.
 (b) A contract entered into between the corporation and any other public or private entity shall include:
 1. The purpose of the contract.
 2. Specific performance standards and responsibilities for each entity.
 3. A detailed project or contract budget, if applicable.
 4. The value of any services provided.
 5. The projected travel and entertainment expenses for employees and board members, if applicable.
 (c) 
 1. Any entity that in the previous fiscal year received more than 50 percent of its revenue from the corporation or taxes imposed pursuant to s. 125.0104, s. 125.0108, or s. 212.0305, and that partners with the corporation or participates in a program, cooperative advertisement, promotional opportunity, or other activity offered by or in conjunction with the corporation, shall annually on July 1 report all public and private financial data to the Governor, the President of the Senate, and the Speaker of the House of Representatives, and include such report on its website.
 2. The financial data shall include:
 a. The total amount of revenue received from public and private sources.
 b. The operating budget of the partner entity.
 c. Employee and board member salary and benefit details from public and private funds.
 d. An itemized account of all expenditures by the partner entity on the behalf of, or coordinated for the benefit of the corporation, its board members, or employees.
 e. Itemized travel and entertainment expenditures of the partner entity.",N,Y,N,NA,NA,Public
Florida,2014,Florida Small Cities Community Development Block Grant Program Fund,2014 Fla. HB 7023,Section 290.044,"Section 11. Fla. Stat. § 290.044, is amended to read:
290.044 Florida Small Cities Community Development Block Grant Program Fund; administration; distribution. — 
[...]
Section 12. Fla. Stat. § 290.046, is amended to read:
290.046 Applications for grants; procedures; requirements. — 
(1) In applying for a grant under a specific program category, an applicant shall propose eligible activities that directly address the objectives of that program category.
[...]
(4) In order to provide citizens with information concerning an applicant’s proposed project, the applicant shall make available to the public information concerning the amounts of funds available for various activities and the range of activities that may be undertaken. In addition, the applicant shall hold a minimum of two public hearings in the local jurisdiction within which the project is to be implemented to obtain the views of citizens before submitting the final application to the department. The applicant shall conduct the initial hearing to solicit public input concerning community needs, inform the public about funding opportunities available to address community needs, and discuss activities that may be undertaken. Before a second public hearing is held, the applicant must publish a summary of the proposed application that provides citizens with an opportunity to examine the contents of the application and to submit comments. The applicant shall conduct a second hearing to obtain comments from citizens concerning the proposed application and to modify the proposed application if appropriate",N,Y,N,NA,NA,Public
Florida,2020,Regional Rural Development Grants Program,2020 Fla. SB 426,"288.018, 288.0655","288.018 Regional Rural Development Grants Program.— [...]
 (3) 
 (a) A contract or agreement that involves the expenditure of grant funds provided under this section, including a contract or agreement entered into between another entity and a regional economic development organization, a unit of local government, or an economic development organization substantially underwritten by a unit of local government, must include:
 1. The purpose of the contract or agreement.
 2. Specific performance standards and responsibilities for each entity under the contract or agreement.
 3. A detailed project or contract budget, if applicable.
 4. The value of any services provided.
 5. The projected travel expenses for employees and board members, if applicable.
 (b) At least 14 days before executing a contract or agreement, the contracting regional economic development organization shall post on its website:
 1. Any contract or agreement that involves the expenditure of grant funds provided under this section.
 2. A plain-language version of any contract or agreement that is estimated to exceed $35,000 with a private entity, a municipality, or a vendor of services, supplies, or programs, including marketing, or for the purchase or lease or use of lands, facilities, or properties which involves the expenditure of grant funds provided under this section.
 288.0655 Rural Infrastructure Fund.— [Íbidem]",N,Y,N,NA,NA,Public
Florida,2006,Innovation Incentive Program,2006 Fla. HB 1285,NA,"Section 2. [A> THE LEGISLATURE FINDS THAT IT IS A PUBLIC NECESSITY TO PROVIDE CONFIDENTIALITY FOR CERTAIN INFORMATION CONCERNING BUSINESSES THAT IS OBTAINED THROUGH THE ADMINISTRATION OF THE INNOVATION INCENTIVE PROGRAM FOR QUALIFIED INNOVATION BUSINESSES UNDER S. 288.1089, FLORIDA STATUTES. THE DISCLOSURE OF INFORMATION SUCH AS TRADE SECRETS, TAX IDENTIFICATION NUMBERS, ANALYSES OF GROSS RECEIPTS, THE AMOUNT OF TAXES PAID, THE AMOUNT OF CAPITAL INVESTMENT, AND THE AMOUNT OF EMPLOYEE WAGES PAID, AND THE DETAILED DOCUMENTATION TO SUBSTANTIATE SUCH PERFORMANCE INFORMATION, COULD INJURE A BUSINESS IN THE MARKETPLACE BY PROVIDING ITS COMPETITORS WITH DETAILED INSIGHTS INTO THE FINANCIAL STATUS AND THE STRATEGIC PLANS OF THE BUSINESS, THEREBY DIMINISHING THE ADVANTAGE THAT THE BUSINESS MAINTAINS OVER THOSE THAT DO NOT POSSESS SUCH INFORMATION. WITHOUT THIS EXEMPTION, PRIVATE SECTOR BUSINESSES, WHOSE RECORDS GENERALLY ARE NOT REQUIRED TO BE OPEN TO THE PUBLIC, MIGHT REFRAIN FROM PARTICIPATING IN THE ECONOMIC DEVELOPMENT PROGRAM AND THUS WOULD NOT BE ABLE TO USE THE INCENTIVES AVAILABLE UNDER THE PROGRAM. IF A BUSINESS WERE UNABLE TO USE THE INCENTIVES, THE BUSINESS MIGHT CHOOSE TO LOCATE ITS EMPLOYMENT AND OTHER INVESTMENT ACTIVITIES OUTSIDE THE STATE, DEPRIVING THE STATE AND THE PUBLIC OF THE POTENTIAL ECONOMIC BENEFITS ASSOCIATED WITH SUCH BUSINESS ACTIVITIES IN THIS STATE. THE HARM TO BUSINESSES IN THE MARKETPLACE AND TO THE EFFECTIVE ADMINISTRATION OF THE ECONOMIC DEVELOPMENT PROGRAM CAUSED BY THE PUBLIC DISCLOSURE OF SUCH INFORMATION FAR OUTWEIGHS THE PUBLIC BENEFITS DERIVED FROM ITS RELEASE. IN ADDITION, BECAUSE THE CONFIDENTIALITY PROVIDED BY S. 288.1067, FLORIDA STATUTES, DOES NOT PRECLUDE THE REPORTING OF STATISTICS IN THE AGGREGATE CONCERNING THE PROGRAM, AS WELL AS THE NAMES OF BUSINESSES PARTICIPATING IN THE PROGRAM AND THE AMOUNT OF INCENTIVES AWARDED AND CLAIMED, THE PUBLIC HAS ACCESS TO INFORMATION IMPORTANT TO AN ASSESSMENT OF THE PERFORMANCE OF THE PROGRAM. <A]",Y,Y,N,Innovation Incentive Fund,NA,Public
Florida,2009,"Enterprise Florida, Inc.*",2009 Fla. HB 7031,288.9015,"288.9015 Enterprise Florida, Inc.; purpose; duties.-- […]
 (8) ENTERPRISE FLORIDA, INC., SHALL BE RESPONSIBLE FOR RESPONDING TO ALL INQUIRIES RELATED TO FLORIDA’S BUSINESS REQUIREMENTS, ECONOMIC INCENTIVES, AND BUSINESS DEVELOPMENT OPPORTUNITIES.",N,Y,N,NA,NA,Public
Florida,1992,General Transparency Law,Florida Constitution,Section 24. Access to public records and meetings.,"Section 24. Access to public records and meetings.
 (a) Every person has the right to inspect or copy any public record made or received in connection with the official business of any public body, officer, or employee of the state, or persons acting on their behalf, except with respect to records exempted pursuant to this section or specifically made confidential by this Constitution. This section specifically includes the legislative, executive, and judicial branches of government and each agency or department created thereunder; counties, municipalities, and districts; and each constitutional officer, board, and commission, or entity created pursuant to law or this Constitution.
 (b) All meetings of any collegial public body of the executive branch of state government or of any collegial public body of a county, municipality, school district, or special district, at which official acts are to be taken or at which public business of such body is to be transacted or discussed, shall be open and noticed to the public and meetings of the legislature shall be open and noticed as provided in Article III, Section 4(e), except with respect to meetings exempted pursuant to this section or specifically closed by this Constitution.
 (c) This section shall be self-executing. The legislature, however, may provide by general law passed by a two-thirds vote of each house for the exemption of records from the requirements of subsection (a) and the exemption of meetings from the requirements of subsection (b), provided that such law shall state with specificity the public necessity justifying the exemption and shall be no broader than necessary to accomplish the stated purpose of the law. The legislature shall enact laws governing the enforcement of this section, including the maintenance, control, destruction, disposal, and disposition of records made public by this section, except that each house of the legislature may adopt rules governing the enforcement of this section in relation to records of the legislative branch. Laws enacted pursuant to this subsection shall contain only exemptions from the requirements of subsections (a) or (b) and provisions governing the enforcement of this section, and shall relate to one subject.
 (d) All laws that are in effect on July 1, 1993 that limit public access to records or meetings shall remain in force, and such laws apply to records of the legislative and judicial branches, until they are repealed. Rules of court that are in effect on the date of adoption of this section that limit access to records shall remain in effect until they are repealed.",N,Y,N,NA,NA,Public
Florida,2013,Public-private partnerships,2013 Fla. HB 85,Section 336.71,"Section 3. 
Section 336.71 , Florida Statutes, is created to read:
336.71  Public-private cooperation in construction of county roads.--  
(1)  If a county receives a proposal, solicited or unsolicited, from a private entity seeking to construct, extend, or improve a county road or portion thereof, the county may enter into an agreement with the private entity for completion of the road construction project, which agreement may provide for payment to the private entity, from public funds, if the county conducts a noticed public hearing and finds that the proposed county road construction project:",N,Y,N,NA,NA,Public
Florida,2003,Scripps Florida Funding Corporation,2003 Fla. SB 8E,NA,"Section 1. Section 288.9551, Florida Statutes, is created to read:
[A> 288.9551 EXEMPTIONS FROM PUBLIC RECORDS AND MEETINGS REQUIREMENTS; SCRIPPS FLORIDA FUNDING CORPORATION, THE SCRIPPS RESEARCH INSTITUTE OR GRANTEE, AND THE OFFICE OF TOURISM, TRADE, AND ECONOMIC DEVELOPMENT.-- <A]
[...]
[A> (2) THE FOLLOWING INFORMATION HELD BY THE SCRIPPS FLORIDA FUNDING CORPORATION OR THE OFFICE OF TOURISM, TRADE, AND ECONOMIC DEVELOPMENT UNDER S. 288.955 IS CONFIDENTIAL AND EXEMPT FROM S. 24, ART. I OF THE STATE CONSTITUTION AND S. 119.07(1): <A]
[A> (A) MATERIALS THAT RELATE TO METHODS OF MANUFACTURE OR PRODUCTION, POTENTIAL TRADE SECRETS, PATENTABLE MATERIAL, ACTUAL TRADE SECRETS AS DEFINED IN S. 688.002, OR PROPRIETARY INFORMATION RECEIVED, GENERATED, ASCERTAINED, OR DISCOVERED BY OR THROUGH THE GRANTEE OR THE SCRIPPS RESEARCH INSTITUTE. <A]
[A> (B) AGREEMENTS AND PROPOSALS TO RECEIVE FUNDING, INCLUDING GRANT APPLICATIONS; HOWEVER, THOSE PORTIONS OF SUCH AGREEMENTS AND PROPOSALS TO RECEIVE FUNDING, INCLUDING GRANT APPLICATIONS, THAT DO NOT CONTAIN INFORMATION MADE EXEMPT BY PARAGRAPH (A) OF THIS SUBSECTION, SHALL NOT BE CONFIDENTIAL AND EXEMPT UPON ISSUANCE OF THE REPORT THAT IS MADE AFTER THE CONCLUSION OF THE PROJECT FOR WHICH FUNDING WAS PROVIDED. THE EXEMPTION CREATED IN THIS PARAGRAPH SPECIFICALLY EXCLUDES ANY AGREEMENT BY THE SCRIPPS FLORIDA FUNDING CORPORATION TO RELEASE FUNDS TO THE SCRIPPS RESEARCH INSTITUTE OR GRANTEE. <A]
[...]",N,Y,N,NA,NA,Public
Florida,2002,General Transparency Law,2002 Fla. HB 777,288.1067,"288.1067 CONFIDENTIALITY OF RECORDS.-- 
 (1) THE FOLLOWING INFORMATION HELD BY THE OFFICE OF TOURISM, TRADE, AND ECONOMIC DEVELOPMENT, ENTERPRISE FLORIDA, INC., OR COUNTY OR MUNICIPAL GOVERNMENTAL ENTITIES, AND THEIR EMPLOYEES OR AGENTS, PURSUANT TO THE INCENTIVE PROGRAMS FOR QUALIFIED BUSINESSES AS PROVIDED IN S. 220.191, S. 288.1045, S. 288.106, S. 288.108, OR S. 288.1088 IS CONFIDENTIAL AND EXEMPT FROM THE PROVISIONS OF S. 119.07(1) AND S. 24(A), ART. I OF THE STATE CONSTITUTION, FOR A PERIOD NOT TO EXCEED THE DURATION OF THE RELEVANT TAX REFUND, TAX CREDIT, OR INCENTIVE AGREEMENT:
 [...]
 (F) ANY PROPRIETARY BUSINESS INFORMATION REGARDING CAPITAL INVESTMENT IN ELIGIBLE BUILDING AND EQUIPMENT MADE BY THE QUALIFIED BUSINESS PROJECT WHEN HELD BY THE OFFICE OF TOURISM, TRADE, AND ECONOMIC DEVELOPMENT AS EVIDENCE OF THE ACHIEVEMENT OR NONACHIEVEMENT OF THE INVESTMENT REQUIREMENTS FOR THE TAX-CREDIT CERTIFICATION UNDER S. 220.191, FOR THE HIGH-IMPACT PERFORMANCE AGREEMENT UNDER S. 288.108, OR FOR THE QUICK-ACTION CLOSING FUND AGREEMENT UNDER S. 288.1088.
 (2) NOTHING CONTAINED IN THIS SECTION SHALL PREVENT THE OFFICE OF TOURISM, TRADE, AND ECONOMIC DEVELOPMENT OR ENTERPRISE FLORIDA, INC., FROM RELEASING:
 (A) THE NAMES OF QUALIFIED BUSINESSES, THE TOTAL NUMBER OF JOBS EACH BUSINESS EXPECTS TO CREATE, THE TOTAL NUMBER OF JOBS CREATED BY EACH BUSINESS, AND THE AMOUNT OF TAX REFUNDS AWARDED TO AND CLAIMED BY EACH BUSINESS UNDER S. 228.1045 OR S. 288.106. HOWEVER, FOR A BUSINESS APPLYING UNDER S. 288.1045 BASED ON OBTAINING A NEW DEPARTMENT OF DEFENSE CONTRACT, THE TOTAL NUMBER OF JOBS EXPECTED AND THE AMOUNT OF TAX REFUNDS CLAIMED SHALL NOT BE RELEASED UNTIL THE NEW DEPARTMENT OF DEFENSE CONTRACT IS AWARDED;
 (B) THE AMOUNT OF INCENTIVES AWARDED AND CLAIMED BY EACH BUSINESS UNDER S. 288.108 OR S. 288.1088; OR
 (C) THE NAMES OF QUALIFIED BUSINESSES, THE TOTAL NUMBER OF JOBS EACH BUSINESS EXPECTS TO CREATE, AND THE TOTAL NUMBER OF JOBS CREATED BY EACH BUSINESS UNDER S. 220.191.
 (3) NOTHING CONTAINED IN THIS SECTION SHALL PREVENT THE OFFICE OF TOURISM, TRADE AND ECONOMIC DEVELOPMENT OR ENTERPRISE FLORIDA, INC., FROM PUBLISHING STATISTICS IN THE AGGREGATE AND SO CLASSIFIED AS TO PREVENT THE IDENTIFICATION OF A SINGLE QUALIFIED APPLICANT.
 (4) THIS SECTION IS SUBJECT TO THE OPEN GOVERNMENT SUNSET REVIEW ACT OF 1995 IN ACCORDANCE WITH S. 119.15 AND SHALL STAND REPEALED ON OCTOBER 2, 2007, UNLESS REVIEWED AND SAVED FROM REPEAL THROUGH REENACTMENT BY THE LEGISLATURE.",N,Y,N,NA,NA,Public
Florida,2001,General Transparency Law,2001 Fla. HB 1541,Section 288.075,"Section 1. Section 288.075, Florida Statutes, is amended to read:
288.075 Confidentiality of records.--
[...]
[A> (5) AN ECONOMIC DEVELOPMENT AGENCY MAY EXTEND THE PERIOD OF CONFIDENTIALITY SPECIFIED IN SUBSECTION (2) FOR UP TO AN ADDITIONAL 12 MONTHS UPON WRITTEN REQUEST FROM THE PRIVATE CORPORATION, PARTNERSHIP, OR PERSON WHO ORIGINALLY REQUESTED CONFIDENTIALITY UNDER THIS SECTION AND UPON A FINDING BY THE ECONOMIC DEVELOPMENT AGENCY THAT SUCH PRIVATE CORPORATION, PARTNERSHIP, OR PERSON IS STILL ACTIVELY CONSIDERING LOCATING, RELOCATING, OR EXPANDING ITS BUSINESS ACTIVITIES IN THIS STATE. SUCH A REQUEST FOR AN EXTENSION IN THE PERIOD OF CONFIDENTIALITY MUST BE RECEIVED PRIOR TO THE EXPIRATION OF ANY CONFIDENTIALITY ORIGINALLY PROVIDED UNDER THIS SECTION. <A]",N,Y,N,NA,NA,Public
Florida,2021,Broadband Opportunity Program,"Florida Broadband Deployment Act of 2021, 2021 Fla. HB 1239",288.9962,"288.9962 Broadband Opportunity Program.— [...]
 (6) 
 (a) At least 30 days before the first day grant applications may be submitted each fiscal year, the office shall publish on its website the specific criteria and quantitative scoring system it will use to evaluate or rank grant applications. Such criteria and quantitative scoring system must include the criteria set forth in subsection (8).
 (b) Within 3 business days after the close of the grant application process, the office shall publish on its website, from each grant application submitted, the proposed unserved areas to be served and the proposed broadband Internet speeds of the areas to be served. [...] 
 (10) By January 1, 2023, and each year thereafter, the office shall publish on its website and provide to the Governor, the President of the Senate, and the Speaker of the House of Representatives:
 (a) A list of all grant applications received during the previous fiscal year and for each application:
 1. The results of any quantitative weighting or scoring system the office used to award grants or rank the applications.
 2. The grant amounts requested.
 3. The grant amounts awarded, if any.
 4. A report on the progress of each grant recipient in acquiring and installing infrastructure that supports the provision of broadband Internet service in the project areas for which that grant was awarded and in securing adoption of such service in each project area.
 (b) All written challenges filed during the previous year and the results of those challenges.",N,Y,N,NA,NA,Public
Florida,2012,General Transparency Laws,2012 Fla. HB 7115,Section 288.075,"Section 1. 
Section 288.075 , Florida Statutes, is amended to read:
288.075  Confidentiality of records.- 
[...]
(6)  ECONOMIC INCENTIVE PROGRAMS.- 
(a)  The following information held by an economic development agency pursuant to the administration of an economic incentive program for qualified businesses is confidential and exempt from s. 119.07(1) and s. 24(a), Art. I of the State Constitution for a period not to exceed the duration of the incentive agreement, including an agreement authorizing a tax refund or tax credit, or upon termination of the incentive agreement:
[...]
3. The amount of: [...]
However, an economic development agency may disclose in the annual incentives report required under s. 288.907 the aggregate amount of each tax identified in this subparagraph and paid by all businesses participating in each economic incentive program.
(b) 
1.  The following information held by an economic development agency relating to a specific business participating in an economic incentive program is no longer confidential or exempt 180 days after a final project order for an economic incentive agreement is issued, until a date specified in the final project order, or if the information is otherwise disclosed, whichever occurs first:
a.  The name of the qualified business.
b.  The total number of jobs each business committed to create or retain .
c.  The total number of jobs created or retained by business.
d.  Notwithstanding s. 213.053(2), the amount of tax refunds, tax credits, or incentives awarded to , claimed by , or, if applicable, refunded to the state by the business.
e.  The anticipated total annual wages of employees the business committed to hire or retain.",N,Y,N,NA,NA,Public
